id,lon,lat,taxonomy,number,structural,day,night,suburb,lzcode,lzpurpose
1957,151.1294644,-33.9673247,URML_P,5.7,1.17E+07,285,0,Kogarah,B4,N/A
1958,151.1283628,-33.9682096,URML_P,5.7,11685000,285,0,Kogarah,B4,N/A
1959,151.1350705,-33.9583926,C1H_H,5.9,158474000,0,590,Kogarah,R4,N/A
1960,151.1339691,-33.9592776,C1H_H,5.9,158474000,0,590,Kogarah,R4,N/A
1961,151.1372144,-33.9593268,C1H_H,5.9,158474000,0,590,Kogarah,R4,N/A
1962,151.1339494,-33.9601791,C1H_H,5.9,158474000,0,590,Kogarah,R4,N/A
1963,151.136113,-33.9602118,C1H_H,5.9,158474000,0,590,Kogarah,R4,N/A
1964,151.1371947,-33.9602282,C1H_H,5.9,158474000,0,590,Kogarah,R4,N/A
1965,151.1350115,-33.9610969,C1H_H,5.9,158474000,0,590,Kogarah,R4,N/A
1966,151.1360933,-33.9611133,C1H_H,5.9,158474000,0,590,Kogarah,R4,N/A
1967,151.1371751,-33.9611297,C1H_H,5.9,158474000,0,590,Kogarah,R4,N/A
1968,151.1371554,-33.9620311,C1H_H,5.9,158474000,0,590,Kogarah,R4,N/A
1969,151.136054,-33.9629161,C1H_H,5.9,158474000,0,590,Kogarah,R4,N/A
1970,151.1371358,-33.9629325,C1H_H,5.9,158474000,0,590,Kogarah,R4,N/A
1971,151.1350902,-33.9574912,UNAFFECTED,0,0,0,0,Kogarah,RE1,N/A
1972,151.1339297,-33.9610805,RM2L_H,4,8200000,800,800,Kogarah,SP2,Educational Establishment
1973,151.1350312,-33.9601955,UNAFFECTED,4,8200000,800,800,Kogarah,SP2,Educational Establishment
1974,151.1360736,-33.9620147,RM2L_H,4,8200000,800,800,Kogarah,SP2,Educational Establishment
1975,151.1361523,-33.958409,RM2L_H,4,8200000,800,800,Kogarah,SP2,Educational Establishment
1976,151.1350509,-33.959294,RM2L_H,4,8200000,800,800,Kogarah,SP2,Educational Establishment
1977,151.1361326,-33.9593104,RM2L_H,4,8200000,800,800,Kogarah,SP2,Educational Establishment
1978,151.1327297,-33.9664726,RM2M_H,3.7,74536500,740,740,Kogarah,SP2,Hospital
1979,151.1338116,-33.966489,RM2M_H,3.7,74536500,740,740,Kogarah,SP2,Hospital
1980,151.1348934,-33.9665054,RM2M_H,3.7,74536500,740,740,Kogarah,SP2,Hospital
1981,151.1359753,-33.9665218,RM2M_H,3.7,74536500,740,740,Kogarah,SP2,Hospital
1982,151.1337919,-33.9673904,RM2M_H,3.7,74536500,740,740,Kogarah,SP2,Hospital
1983,151.1348737,-33.9674068,RM2M_H,3.7,74536500,740,740,Kogarah,SP2,Hospital
1984,151.1359556,-33.9674232,RM2M_H,3.7,74536500,740,740,Kogarah,SP2,Hospital
1985,151.1337722,-33.9682918,RM2M_H,3.7,74536500,740,740,Kogarah,SP2,Hospital
1986,151.1348541,-33.9683082,RM2L_H,3.7,74536500,740,740,Kogarah,SP2,Hospital
1987,151.135995,-33.9656204,RM2M_H,3.7,74536500,740,740,Kogarah,SP2,Hospital
1988,151.1339888,-33.9583762,UNAFFECTED,0,0,0,0,Kogarah,SP2,Railway Infrastructure Facilities
1989,151.1591413,-33.946131,UNAFFECTED,0,0,0,0,Kyeemagh,W2,N/A
1990,151.1580403,-33.9470162,UNAFFECTED,0,0,0,0,Kyeemagh,W2,N/A
1991,151.1569392,-33.9479015,UNAFFECTED,0,0,0,0,Kyeemagh,W2,N/A
1992,151.1558381,-33.9487867,UNAFFECTED,0,0,0,0,Kyeemagh,W2,N/A
1993,151.1536553,-33.9496557,UNAFFECTED,0,0,0,0,Kyeemagh,W2,N/A
1994,151.1591219,-33.9470324,UNAFFECTED,0,0,0,0,Kyeemagh,RE1,N/A
1995,151.1602035,-33.9470486,UNAFFECTED,0,0,0,0,Kyeemagh,RE1,N/A
1996,151.154737,-33.9496719,UNAFFECTED,0,0,0,0,Kyeemagh,RE1,N/A
1997,151.1547175,-33.9505733,UNAFFECTED,0,0,0,0,Kyeemagh,RE1,N/A
1998,151.1602229,-33.9461471,UNAFFECTED,0,0,0,0,Kyeemagh,SP2,Classified Road
1999,151.1612852,-33.9470647,UNAFFECTED,0,0,0,0,Kyeemagh,SP2,Classified Road
2000,151.1623474,-33.9479823,UNAFFECTED,0,0,0,0,Kyeemagh,SP2,Classified Road
2001,151.1634097,-33.9488999,UNAFFECTED,0,0,0,0,Kyeemagh,SP2,Classified Road
2002,151.1611882,-33.9515719,UNAFFECTED,0,0,0,0,Kyeemagh,SP2,Classified Road
2003,151.1613046,-33.9461633,UNAFFECTED,0,0,0,0,Kyeemagh,RE1,N/A
2004,151.1645301,-33.9471132,UNAFFECTED,0,0,0,0,Kyeemagh,RE1,N/A
2005,151.1612658,-33.9479662,URML_P,15,2.40E+07,0,42,Kyeemagh,R2,N/A
2006,151.1590831,-33.9488353,URML_P,15,2.40E+07,0,42,Kyeemagh,R2,N/A
2007,151.1601647,-33.9488514,URML_P,15,2.40E+07,0,42,Kyeemagh,R2,N/A
2008,151.1612464,-33.9488676,URML_P,15,2.40E+07,0,42,Kyeemagh,R2,N/A
2009,151.162328,-33.9488838,URML_P,15,2.40E+07,0,42,Kyeemagh,R2,N/A
2010,151.1590637,-33.9497367,URML_P,15,2.40E+07,0,42,Kyeemagh,R2,N/A
2011,151.1601453,-33.9497529,URML_P,15,2.40E+07,0,42,Kyeemagh,R2,N/A
2012,151.161227,-33.949769,URML_P,15,2.40E+07,0,42,Kyeemagh,R2,N/A
2013,151.1623087,-33.9497852,URML_P,15,2.40E+07,0,42,Kyeemagh,R2,N/A
2014,151.1633903,-33.9498013,URML_P,15,2.40E+07,0,42,Kyeemagh,R2,N/A
2015,151.1536359,-33.9505571,URML_P,15,2.40E+07,0,42,Kyeemagh,R2,N/A
2016,151.1579626,-33.9506219,URML_P,15,2.40E+07,0,42,Kyeemagh,R2,N/A
2017,151.1590442,-33.9506381,URML_P,15,2.40E+07,0,42,Kyeemagh,R2,N/A
2018,151.1601259,-33.9506543,URML_P,15,2.40E+07,0,42,Kyeemagh,R2,N/A
2019,151.1612076,-33.9506705,URML_P,15,2.40E+07,0,42,Kyeemagh,R2,N/A
2020,151.1622893,-33.9506866,URML_P,15,2.40E+07,0,42,Kyeemagh,R2,N/A
2021,151.1601065,-33.9515557,URML_P,15,2.40E+07,0,42,Kyeemagh,R2,N/A
2022,151.1580209,-33.9479176,UNAFFECTED,0,0,0,0,Kyeemagh,RU4,N/A
2023,151.1591025,-33.9479338,UNAFFECTED,0,0,0,0,Kyeemagh,RU4,N/A
2024,151.1601841,-33.94795,UNAFFECTED,0,0,0,0,Kyeemagh,RU4,N/A
2025,151.1569198,-33.9488029,UNAFFECTED,0,0,0,0,Kyeemagh,RU4,N/A
2026,151.1580014,-33.9488191,UNAFFECTED,0,0,0,0,Kyeemagh,RU4,N/A
2027,151.1558187,-33.9496881,UNAFFECTED,0,0,0,0,Kyeemagh,RU4,N/A
2028,151.1569003,-33.9497043,UNAFFECTED,0,0,0,0,Kyeemagh,RU4,N/A
2029,151.157982,-33.9497205,UNAFFECTED,0,0,0,0,Kyeemagh,RU4,N/A
2030,151.1557992,-33.9505895,UNAFFECTED,0,0,0,0,Kyeemagh,RU4,N/A
2031,151.1568809,-33.9506057,UNAFFECTED,0,0,0,0,Kyeemagh,RU4,N/A
2032,151.165573,-33.9489322,UNAFFECTED,0,0,0,0,Kyeemagh,RE1,N/A
2033,151.1666547,-33.9489483,UNAFFECTED,0,0,0,0,Kyeemagh,RE1,N/A
2034,151.164472,-33.9498175,UNAFFECTED,0,0,0,0,Kyeemagh,RE1,N/A
2035,151.1655537,-33.9498336,UNAFFECTED,0,0,0,0,Kyeemagh,RE1,N/A
2036,151.163371,-33.9507028,UNAFFECTED,0,0,0,0,Kyeemagh,RE1,N/A
2037,151.1644526,-33.9507189,UNAFFECTED,0,0,0,0,Kyeemagh,RE1,N/A
2038,151.1622699,-33.9515881,UNAFFECTED,0,0,0,0,Kyeemagh,RE1,N/A
2039,151.1633516,-33.9516042,UNAFFECTED,0,0,0,0,Kyeemagh,RE1,N/A
2040,151.1623668,-33.9470809,URML_P,15,2.40E+07,0,42,Kyeemagh,R2,N/A
2041,151.1634484,-33.947097,URML_P,15,2.40E+07,0,42,Kyeemagh,R2,N/A
2042,151.1634291,-33.9479985,URML_P,15,2.40E+07,0,42,Kyeemagh,R2,N/A
2043,151.1645107,-33.9480146,URML_P,15,2.40E+07,0,42,Kyeemagh,R2,N/A
2044,151.1655924,-33.9480307,URML_P,15,2.40E+07,0,42,Kyeemagh,R2,N/A
2045,151.1644914,-33.948916,URML_P,15,2.40E+07,0,42,Kyeemagh,R2,N/A
2046,151.1615566,-33.9344446,UNAFFECTED,0,0,0,0,Mascot,W2,N/A
2047,151.1615372,-33.9353461,UNAFFECTED,0,0,0,0,Mascot,W2,N/A
2048,151.1615178,-33.9362475,UNAFFECTED,0,0,0,0,Mascot,W2,N/A
2049,151.1625993,-33.9362637,UNAFFECTED,0,0,0,0,Mascot,W2,N/A
2050,151.1614984,-33.937149,UNAFFECTED,0,0,0,0,Mascot,W2,N/A
2051,151.1625799,-33.9371651,UNAFFECTED,0,0,0,0,Mascot,W2,N/A
2052,151.161479,-33.9380504,UNAFFECTED,0,0,0,0,Mascot,W2,N/A
2053,151.1625606,-33.9380665,UNAFFECTED,0,0,0,0,Mascot,W2,N/A
2054,151.1614596,-33.9389518,UNAFFECTED,0,0,0,0,Mascot,W2,N/A
2055,151.1625412,-33.938968,UNAFFECTED,0,0,0,0,Mascot,W2,N/A
2056,151.1614403,-33.9398533,UNAFFECTED,0,0,0,0,Mascot,W2,N/A
2057,151.1614209,-33.9407547,UNAFFECTED,0,0,0,0,Mascot,W2,N/A
2058,151.1614015,-33.9416561,UNAFFECTED,0,0,0,0,Mascot,W2,N/A
2059,151.1603005,-33.9425414,UNAFFECTED,0,0,0,0,Mascot,W2,N/A
2060,151.1613821,-33.9425576,UNAFFECTED,0,0,0,0,Mascot,W2,N/A
2061,151.1602811,-33.9434428,UNAFFECTED,0,0,0,0,Mascot,W2,N/A
2062,151.1613627,-33.943459,UNAFFECTED,0,0,0,0,Mascot,W2,N/A
2063,151.1602617,-33.9443443,UNAFFECTED,0,0,0,0,Mascot,W2,N/A
2064,151.1613433,-33.9443604,UNAFFECTED,0,0,0,0,Mascot,W2,N/A
2065,151.1613239,-33.9452619,UNAFFECTED,0,0,0,0,Mascot,W2,N/A
2066,151.1624056,-33.945278,UNAFFECTED,0,0,0,0,Mascot,W2,N/A
2067,151.1634872,-33.9452942,UNAFFECTED,0,0,0,0,Mascot,W2,N/A
2068,151.1623862,-33.9461795,UNAFFECTED,0,0,0,0,Mascot,W2,N/A
2069,151.1634678,-33.9461956,UNAFFECTED,0,0,0,0,Mascot,W2,N/A
2070,151.1645494,-33.9462117,UNAFFECTED,0,0,0,0,Mascot,W2,N/A
2071,151.1656311,-33.9462279,UNAFFECTED,0,0,0,0,Mascot,W2,N/A
2072,151.1656117,-33.9471293,UNAFFECTED,0,0,0,0,Mascot,W2,N/A
2073,151.1666933,-33.9471454,UNAFFECTED,0,0,0,0,Mascot,W2,N/A
2074,151.1845738,-33.9203586,UNAFFECTED,0,0,0,0,Mascot,SP2,Classified Road
2075,151.188899,-33.9204223,UNAFFECTED,0,0,0,0,Mascot,SP2,Classified Road
2076,151.182392,-33.9212281,UNAFFECTED,0,0,0,0,Mascot,SP2,Classified Road
2077,151.1845547,-33.92126,UNAFFECTED,0,0,0,0,Mascot,SP2,Classified Road
2078,151.1844973,-33.9239644,UNAFFECTED,0,0,0,0,Mascot,SP2,Classified Road
2079,151.189885,-33.9249454,UNAFFECTED,0,0,0,0,Mascot,SP2,Classified Road
2080,151.1876841,-33.9267165,UNAFFECTED,0,0,0,0,Mascot,SP2,Classified Road
2081,151.1952538,-33.9268277,UNAFFECTED,0,0,0,0,Mascot,SP2,Classified Road
2082,151.1865262,-33.9303064,UNAFFECTED,0,0,0,0,Mascot,SP2,Classified Road
2083,151.1865071,-33.9312078,UNAFFECTED,0,0,0,0,Mascot,SP2,Classified Road
2084,151.186488,-33.9321093,UNAFFECTED,0,0,0,0,Mascot,SP2,Classified Road
2085,151.1940582,-33.9322206,UNAFFECTED,0,0,0,0,Mascot,SP2,Classified Road
2086,151.1940392,-33.933122,UNAFFECTED,0,0,0,0,Mascot,SP2,Classified Road
2087,151.1972646,-33.9340711,UNAFFECTED,0,0,0,0,Mascot,SP2,Classified Road
2088,151.1983461,-33.9340869,UNAFFECTED,0,0,0,0,Mascot,SP2,Classified Road
2089,151.1994276,-33.9341027,UNAFFECTED,0,0,0,0,Mascot,SP2,Classified Road
2090,151.1940011,-33.934925,UNAFFECTED,0,0,0,0,Mascot,SP2,Classified Road
2091,151.2015716,-33.9350358,UNAFFECTED,0,0,0,0,Mascot,SP2,Classified Road
2092,151.1929006,-33.9358105,UNAFFECTED,0,0,0,0,Mascot,SP2,Classified Road
2093,151.2015527,-33.9359372,UNAFFECTED,0,0,0,0,Mascot,SP2,Classified Road
2094,151.2058788,-33.9360004,UNAFFECTED,0,0,0,0,Mascot,SP2,Classified Road
2095,151.1928815,-33.936712,UNAFFECTED,0,0,0,0,Mascot,SP2,Classified Road
2096,151.1950446,-33.9367437,UNAFFECTED,0,0,0,0,Mascot,SP2,Classified Road
2097,151.1972076,-33.9367754,UNAFFECTED,0,0,0,0,Mascot,SP2,Classified Road
2098,151.1982892,-33.9367913,UNAFFECTED,0,0,0,0,Mascot,SP2,Classified Road
2099,151.1928625,-33.9376134,UNAFFECTED,0,0,0,0,Mascot,SP2,Classified Road
2100,151.1950256,-33.9376452,UNAFFECTED,0,0,0,0,Mascot,SP2,Classified Road
2101,151.1928434,-33.9385149,UNAFFECTED,0,0,0,0,Mascot,SP2,Classified Road
2102,151.193925,-33.9385308,UNAFFECTED,0,0,0,0,Mascot,SP2,Classified Road
2103,151.1928244,-33.9394163,UNAFFECTED,0,0,0,0,Mascot,SP2,Classified Road
2104,151.1928053,-33.9403178,UNAFFECTED,0,0,0,0,Mascot,SP2,Classified Road
2105,151.1927863,-33.9412192,UNAFFECTED,0,0,0,0,Mascot,SP2,Classified Road
2106,151.1927672,-33.9421207,UNAFFECTED,0,0,0,0,Mascot,SP2,Classified Road
2107,151.1916666,-33.9430063,UNAFFECTED,0,0,0,0,Mascot,SP2,Classified Road
2108,151.1905659,-33.9438918,UNAFFECTED,0,0,0,0,Mascot,SP2,Classified Road
2109,151.1873019,-33.9447455,UNAFFECTED,0,0,0,0,Mascot,SP2,Classified Road
2110,151.1950065,-33.9385466,UNAFFECTED,0,0,0,0,Mascot,SP1,Recreation Facility (Outdoor)
2111,151.1839039,-33.9519092,UNAFFECTED,0,0,0,0,Mascot,W3,N/A
2112,151.18466,-33.9672497,UNAFFECTED,0,0,0,0,Mascot,W3,N/A
2113,151.1851196,-33.9456151,S1L_H,0.9,6786171.575,77.8,77.8,Mascot,SP2,Airport
2114,151.1862012,-33.945631,S1L_H,0.9,6786171.575,77.8,77.8,Mascot,SP2,Airport
2115,151.1872828,-33.945647,S1L_H,0.9,6786171.575,77.8,77.8,Mascot,SP2,Airport
2116,151.1883645,-33.9456629,S1L_H,0.9,6786171.575,77.8,77.8,Mascot,SP2,Airport
